Date,Open,High,Low,Close,Adj Close,Volume
02-07-2012,9103.790039,9103.790039,9003.480469,9003.480469,9003.480469,99800
03-07-2012,9013.650391,9082.389648,9012.860352,9066.589844,9066.589844,121000
04-07-2012,9119.69043,9136.019531,9095.30957,9104.169922,9104.169922,105600
05-07-2012,9078.459961,9130.540039,9069.009766,9079.799805,9079.799805,97000
06-07-2012,9052.700195,9082.040039,8977.349609,9020.75,9020.75,108200
09-07-2012,8922.990234,8954.44043,8892.169922,8896.879883,8896.879883,92000
10-07-2012,8922.030273,8966.990234,8855.929688,8857.730469,8857.730469,108400
11-07-2012,8819.040039,8851,8797.730469,8851,8851,98000
12-07-2012,8859.389648,8862.799805,8709.75,8720.009766,8720.009766,141800
13-07-2012,8701.349609,8759.05957,8695.44043,8724.120117,8724.120117,122800
17-07-2012,8740.980469,8808.870117,8711.730469,8755,8755,112000
18-07-2012,8796.150391,8802.089844,8715.139648,8726.740234,8726.740234,119000
19-07-2012,8795,8835.799805,8771.19043,8795.549805,8795.549805,113200
20-07-2012,8785.870117,8792.19043,8662.719727,8669.870117,8669.870117,117000
23-07-2012,8582.280273,8606.230469,8500.269531,8508.320313,8508.320313,103400
24-07-2012,8497.990234,8517.519531,8446.179688,8488.089844,8488.089844,126200
25-07-2012,8410.980469,8433.580078,8328.019531,8365.900391,8365.900391,137400
26-07-2012,8408.219727,8448.549805,8358.509766,8443.099609,8443.099609,153400
27-07-2012,8547.339844,8569.089844,8522.740234,8566.639648,8566.639648,129000
30-07-2012,8658.830078,8663.299805,8589.19043,8635.44043,8635.44043,112000
31-07-2012,8600.919922,8732.839844,8585.259766,8695.05957,8695.05957,140200
01-08-2012,8622.040039,8654.610352,8578.160156,8641.849609,8641.849609,123200
02-08-2012,8642.889648,8705.910156,8635.509766,8653.179688,8653.179688,127000
03-08-2012,8539.709961,8565.05957,8513.200195,8555.110352,8555.110352,141800
06-08-2012,8683.200195,8751.799805,8676.25,8726.290039,8726.290039,113000
07-08-2012,8714.120117,8812.419922,8711.900391,8803.30957,8803.30957,109400
08-08-2012,8889.379883,8962.950195,8851.589844,8881.160156,8881.160156,162400
09-08-2012,8870.80957,9004.80957,8862.169922,8978.599609,8978.599609,151200
10-08-2012,8931.919922,8954.849609,8857.230469,8891.44043,8891.44043,120000
