Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,65.845001,66.687500,65.622498,66.254997,64.569588,8389600
2015-01-05,65.872498,65.875000,64.717499,64.792503,63.144302,12751200
2015-01-06,64.947502,65.195000,63.715000,64.375000,62.737423,11070000
2015-01-07,64.610001,65.285004,64.362503,65.237503,63.577991,9346800
2015-01-08,65.800003,66.279999,65.657501,66.112503,64.430725,10443200
2015-01-09,65.902496,66.117500,64.942497,65.132500,63.475647,10523600
2015-01-12,65.260002,65.500000,64.785004,65.004997,63.351395,6425600
2015-01-13,65.504997,66.452499,64.777496,65.195000,63.536556,10284000
2015-01-14,64.160004,64.650002,63.529999,63.889999,62.264759,12218000
2015-01-15,64.177498,64.367500,63.090000,63.282501,61.672714,10569200
2015-01-16,62.974998,63.775002,62.875000,63.737499,62.116138,11137200
2015-01-20,64.055000,64.922501,63.564999,64.209999,62.576611,14933200
2015-01-21,64.040001,64.907501,63.625000,64.320000,62.683823,9784000
2015-01-22,63.862499,64.750000,63.342499,64.400002,62.761787,11566000
2015-01-23,64.629997,65.162498,64.544998,64.572502,62.929893,6166800
2015-01-26,64.235001,64.322502,63.450001,64.132500,62.501095,8552400
2015-01-27,63.447498,63.447498,62.145000,62.747501,61.151318,11027600
2015-01-28,63.132500,63.252499,61.575001,61.590000,60.023262,11430800
2015-01-29,61.882500,62.200001,61.292500,62.000000,60.422844,15668400
2015-01-30,65.099998,65.904999,63.727501,63.727501,62.106388,22151600
2015-02-02,64.077499,64.077499,62.424999,63.834999,62.211151,13665200
2015-02-03,64.177498,65.112503,63.685001,64.947502,63.295353,15075600
2015-02-04,64.897499,66.682503,64.775002,66.222504,64.537933,22170800
2015-02-05,66.812500,67.949997,66.474998,67.949997,66.221481,16565600
2015-02-06,67.937500,68.112503,66.510002,66.855003,65.154335,11242000
2015-02-09,66.852501,67.084999,66.320000,66.364998,64.676796,7834400
2015-02-10,66.687500,66.967499,65.907501,66.137497,64.455078,9396800
2015-02-11,66.245003,66.574997,66.062500,66.497498,65.279701,8795600
2015-02-12,66.904999,67.727501,66.764999,67.727501,66.487167,11641600
2015-02-13,68.187500,68.187500,67.195000,67.407501,66.173027,8476000
2015-02-17,67.870003,67.997498,67.467499,67.717499,66.477356,6810400
2015-02-18,67.717499,67.750000,67.037498,67.279999,66.047859,6429200
2015-02-19,67.517502,67.517502,67.000000,67.275002,66.042953,5654800
2015-02-20,67.260002,68.250000,66.764999,68.250000,67.000114,9034800
2015-02-23,68.239998,68.330002,67.562500,68.252502,67.002556,6654800
2015-02-24,68.452499,68.452499,67.792503,68.117500,66.870041,9045200
2015-02-25,67.815002,68.557503,67.815002,68.252502,67.002556,6842800
2015-02-26,68.300003,68.625000,68.004997,68.437500,67.184181,13459600
2015-02-27,68.367500,68.547501,67.827499,67.827499,66.585350,7965200
2015-03-02,69.177498,69.572502,68.610001,69.572502,68.298393,11653600
2015-03-03,69.662498,69.662498,68.375000,68.824997,67.564575,8807200
2015-03-04,68.787498,68.787498,68.062500,68.437500,67.184181,8021200
2015-03-05,68.750000,68.785004,68.437500,68.532501,67.277435,6756000
2015-03-06,68.349998,68.620003,67.312500,67.334999,66.101868,11590800
2015-03-09,67.629997,68.052498,67.269997,67.855003,66.612335,8902000
2015-03-10,67.410004,67.464996,66.300003,66.300003,65.085823,11125600
2015-03-11,66.407501,66.845001,65.762497,66.187500,64.975380,12105200
2015-03-12,66.599998,67.500000,66.574997,67.394997,66.160751,9530800
2015-03-13,67.209999,67.209999,66.125000,66.257500,65.044098,12578800
2015-03-16,66.722504,67.512497,66.657501,67.254997,66.023331,9849600
2015-03-17,67.014999,67.089996,66.035004,66.125000,64.914024,14290800
2015-03-18,66.022499,66.995003,64.752502,66.917503,65.692009,50658000
2015-03-19,66.830002,67.190002,65.750000,66.809998,65.586479,15407500
2015-03-20,67.250000,67.699997,66.779999,67.410004,66.175499,15372000
2015-03-23,68.029999,68.209999,67.070000,67.080002,65.851532,8128000
2015-03-24,67.099998,67.690002,66.839996,67.099998,65.871155,6534800
2015-03-25,67.099998,67.430000,65.730003,65.730003,64.526253,13054300
2015-03-26,65.250000,66.300003,65.019997,65.589996,64.388809,9487200
2015-03-27,65.519997,65.809998,65.150002,65.540001,64.339737,6521100
2015-03-30,66.019997,66.320000,65.500000,65.660004,64.457542,11237100
2015-03-31,65.470001,66.209999,65.389999,65.410004,64.212120,7400500
2015-04-01,65.449997,65.519997,64.449997,65.180000,63.986320,7633000
2015-04-02,64.989998,65.620003,64.809998,65.290001,64.094322,5083000
2015-04-06,64.730003,65.639999,64.410004,65.199997,64.005966,8351200
2015-04-07,65.379997,66.190002,65.309998,65.800003,64.594971,6660800
2015-04-08,65.889999,66.839996,65.800003,66.500000,65.282143,6604200
2015-04-09,66.570000,66.820000,65.760002,66.440002,65.223259,5408500
2015-04-10,66.690002,66.690002,65.930000,66.339996,65.125076,4628500
2015-04-13,66.220001,66.800003,65.510002,65.610001,64.408455,5059800
2015-04-14,65.519997,65.940002,64.879997,65.529999,64.329926,5621800
2015-04-15,65.599998,65.910004,65.300003,65.680000,64.477165,5347100
2015-04-16,65.529999,66.010002,65.349998,65.650002,64.447723,4121300
2015-04-17,65.099998,65.500000,64.349998,64.519997,63.338409,11212900
2015-04-20,65.000000,65.209999,64.580002,64.720001,63.534756,5948900
2015-04-21,65.029999,65.830002,64.989998,65.349998,64.153206,9619700
