Date,Open,High,Low,Close,Adj Close,Volume,Returns
02-07-2012,4094.600098,4151.5,4094.600098,4133,4133,0,0
03-07-2012,4133,4141.799805,4119.899902,4127.200195,4127.200195,0,-0.001403292
04-07-2012,4127.200195,4172.5,4127.200195,4172.200195,4172.200195,0,0.010903275
05-07-2012,4172.200195,4175.799805,4157,4169.200195,4169.200195,0,-0.000719045
06-07-2012,4169.200195,4169.399902,4145,4157.799805,4157.799805,0,-0.002734431
09-07-2012,4157.799805,4157.799805,4111,4118.299805,4118.299805,0,-0.009500217
10-07-2012,4118.299805,4135.899902,4088.699951,4098,4098,0,-0.004929171
11-07-2012,4098,4102.399902,4076.399902,4096.5,4096.5,0,-0.000366032
12-07-2012,4096.5,4108.700195,4062.5,4068,4068,0,-0.006957159
13-07-2012,4068,4103,4062.300049,4082.199951,4082.199951,0,0.003490647
16-07-2012,4082.199951,4126.899902,4082.199951,4105.100098,4105.100098,0,0.005609756
17-07-2012,4105.100098,4153.600098,4102.700195,4140.799805,4140.799805,0,0.008696428
18-07-2012,4140.799805,4144.200195,4120.700195,4123.600098,4123.600098,0,-0.004153716
19-07-2012,4123.600098,4206.700195,4123.600098,4206.700195,4206.700195,0,0.020152317
20-07-2012,4206.700195,4215.600098,4186.100098,4199.100098,4199.100098,0,-0.001806665
23-07-2012,4199.100098,4199.100098,4127.299805,4128.899902,4128.899902,0,-0.016717914
24-07-2012,4128.899902,4140.799805,4113.799805,4133.200195,4133.200195,0,0.001041511
25-07-2012,4133.200195,4133.200195,4084.399902,4123.899902,4123.899902,0,-0.002250143
26-07-2012,4123.899902,4150.899902,4122.399902,4147.700195,4147.700195,0,0.005771307
27-07-2012,4147.700195,4209.799805,4147.700195,4209.799805,4209.799805,0,0.014972059
30-07-2012,4209.799805,4256.200195,4209.799805,4245.700195,4245.700195,0,0.008527814
31-07-2012,4245.700195,4288.100098,4245.700195,4269.200195,4269.200195,0,0.005535012
01-08-2012,4269.200195,4269.200195,4253.700195,4262.799805,4262.799805,0,-0.001499201
02-08-2012,4262.799805,4281.200195,4256.299805,4269.5,4269.5,0,0.001571783
03-08-2012,4269.5,4269.5,4212.700195,4221.5,4221.5,0,-0.011242534
06-08-2012,4221.5,4288.200195,4221.5,4272.600098,4272.600098,0,0.012104725
