Date,Open,High,Low,Close,Adj Close,Volume
04-01-2016,50.75,51.189999,50.189999,51.130001,50.382088,23440200
05-01-2016,51.540001,51.610001,50.41,50.860001,50.116032,17444900
06-01-2016,50.099998,50.580002,49.759998,50.119999,49.386852,22501800
07-01-2016,49.07,49.380001,47.5,47.560001,46.864311,37902900
08-01-2016,48.73,48.740002,46.029999,46.130001,45.455227,30643000
11-01-2016,46.560001,46.990002,45.93,46.849998,46.164688,26284600
12-01-2016,47.5,47.5,46.27,46.880001,46.194248,26310000
13-01-2016,47.32,47.349998,44.970001,45.189999,44.528976,27925800
14-01-2016,45.419998,45.82,44.57,45.380001,44.716194,30129500
15-01-2016,42.509998,43.689999,41.849998,42.470001,41.848763,52353900
19-01-2016,42.849998,43.119999,41.66,41.939999,41.326515,39032700
20-01-2016,40.52,41.029999,39.439999,40.490002,39.897724,49905400
21-01-2016,40.509998,41.389999,40.029999,40.150002,39.562698,34976700
22-01-2016,41.049999,41.349998,40.82,41.060001,40.459385,30187200
25-01-2016,40.810001,40.959999,39.450001,39.549999,38.971474,31924000
26-01-2016,39.599998,40.790001,39.5,40.5,39.907578,23508400
27-01-2016,40.369999,41.689999,40.23,40.560001,39.966702,28274800
28-01-2016,41.200001,41.389999,40.07,40.389999,39.848305,23212800
